lat,lon,elevation,slope,slope_max,aspect
30.25,79.0,1638.562959435626,27.878920608709187,72.88554545436013,180.13010967763176
30.25,79.25,1493.0701534391535,28.040224430442493,76.66960689554426,175.78729885029762
30.25,79.5,2436.7691710758377,29.087752767132567,81.05960860158108,190.3742898339824
30.25,79.75,4544.160970017637,29.72168075726266,81.38942903831024,181.2777753791818
30.25,80.0,4999.597442680776,30.704770035494416,79.73052057876622,162.71429222804474
30.5,79.0,1733.4822691358024,26.67509431593234,77.04236540842116,163.1163569385001
30.5,79.25,2649.0692555555556,28.605348691087617,79.29111400562103,179.3519840107055
30.5,79.5,2684.814096296296,31.489180704495247,78.60721283721426,170.09493822227057
30.5,79.75,3955.743332098765,33.50982451108138,80.92524674073938,182.85975446367283
30.5,80.0,5213.369718518518,29.29076988574692,77.47793171500045,181.95187864615906
30.75,79.0,4316.332390123457,29.665782013103257,81.95949553623758,185.36958902015112
30.75,79.25,4960.255234567901,29.193040214271853,79.27577246815298,179.95170225411263
30.75,79.5,4384.830416049383,31.877555921038947,80.87985031962405,178.02284039704585
30.75,79.75,4636.251462962963,30.940121627978943,80.29487883312092,165.95582013297457
30.75,80.0,4638.457797530864,29.08091530616807,79.14349137316518,178.7979215093151
31.0,79.0,4914.780543209877,30.134575937120474,80.13226846729401,170.24634962678985
31.0,79.25,5612.112417283951,23.962932625385186,80.28123497996273,176.73289109174058
31.0,79.5,5568.126254320988,25.72864545655869,78.84639861488708,183.73074466260772
31.0,79.75,5375.199627160494,25.34160816323383,79.71010156677747,153.2036849416821
31.0,80.0,4967.051051851852,20.758994324611965,72.59235662483319,173.60863332083534
