date,lat,lon,soil_moisture_l1,soil_moisture_l2
2010-01-06,30.25,79.5,0.38658905,0.34558234
2010-01-06,30.25,79.75,0.38393402,0.36758995
2010-01-06,30.25,80.0,0.42783737,0.4209385
2010-01-06,30.5,79.0,0.33154806,0.3109932
2010-01-06,30.5,79.25,0.3843409,0.35413742
2010-01-06,30.5,79.5,0.36947462,0.3520347
2010-01-06,30.5,79.75,0.27184296,0.26436234
2010-01-06,30.5,80.0,0.27605948,0.27197775
2010-01-06,30.75,79.0,0.41449738,0.37320137
2010-01-06,30.75,79.25,0.40041924,0.3813362
2010-01-06,30.75,79.5,0.34293237,0.3429184
2010-01-06,30.75,79.75,0.44791603,0.44761086
2010-01-06,30.75,80.0,0.23955345,0.24803543
2010-01-06,31.0,79.0,0.31011772,0.29554176
2010-01-06,31.0,79.25,0.33290863,0.33304596
2010-01-06,31.0,79.5,0.26937613,0.29060617
2010-01-06,31.0,79.75,0.23989105,0.27729988
2010-01-06,31.0,80.0,0.21790886,0.26713753
2010-01-07,30.25,79.0,0.34856415,0.32139015
2010-01-07,30.25,79.25,0.3510971,0.33058357
2010-01-07,30.25,79.5,0.38012695,0.34832382
2010-01-07,30.25,79.75,0.389225,0.37052536
2010-01-07,30.25,80.0,0.42811012,0.420969
2010-01-07,30.5,79.0,0.32399368,0.31269836
2010-01-07,30.5,79.25,0.37807083,0.35580063
2010-01-07,30.5,79.5,0.36793095,0.35441673
2010-01-07,30.5,79.75,0.2719129,0.2643458
2010-01-07,30.5,80.0,0.27600607,0.27188239
2010-01-07,30.75,79.0,0.41560745,0.3736763
2010-01-07,30.75,79.25,0.4003296,0.38126564
2010-01-07,30.75,79.5,0.34275183,0.34275308
2010-01-07,30.75,79.75,0.44787598,0.44755936
2010-01-07,30.75,80.0,0.23951149,0.24798012
2010-01-07,31.0,79.0,0.310112,0.29552078
2010-01-07,31.0,79.25,0.33290863,0.33304596
2010-01-07,31.0,79.5,0.26937613,0.29059854
2010-01-07,31.0,79.75,0.23989487,0.2773037
2010-01-07,31.0,80.0,0.21792603,0.26721382
2010-01-08,30.25,79.0,0.3443432,0.32132912
2010-01-08,30.25,79.25,0.34355164,0.3305664
2010-01-08,30.25,79.5,0.3750483,0.349617
2010-01-08,30.25,79.75,0.39172745,0.373106
2010-01-08,30.25,80.0,0.4274063,0.4209671
2010-01-08,30.5,79.0,0.31817245,0.31340918
2010-01-08,30.5,79.25,0.3732058,0.35609308
2010-01-08,30.5,79.5,0.36642203,0.35531363
2010-01-08,30.5,79.75,0.2717476,0.2643598
2010-01-08,30.5,80.0,0.27595392,0.27179465
2010-01-08,30.75,79.0,0.41853905,0.37451935
2010-01-08,30.75,79.25,0.40023804,0.3812008
2010-01-08,30.75,79.5,0.34258142,0.34258524
2010-01-08,30.75,79.75,0.44783592,0.44751167
2010-01-08,30.75,80.0,0.23947906,0.2479229
2010-01-08,31.0,79.0,0.3101101,0.2954979
2010-01-08,31.0,79.25,0.33290863,0.33304596
2010-01-08,31.0,79.5,0.26937613,0.29058838
2010-01-08,31.0,79.75,0.23989677,0.2773075
2010-01-08,31.0,80.0,0.217947,0.26729393
2010-01-09,30.25,79.0,0.33991623,0.32118607
2010-01-09,30.25,79.25,0.33581734,0.33026505
2010-01-09,30.25,79.5,0.36865363,0.35000864
2010-01-09,30.25,79.75,0.39078903,0.3750763
2010-01-09,30.25,80.0,0.42668533,0.42088127
2010-01-09,30.5,79.0,0.3121643,0.3135096
2010-01-09,30.5,79.25,0.36823145,0.35570908
2010-01-09,30.5,79.5,0.36424002,0.35541704
2010-01-09,30.5,79.75,0.27161154,0.26436615
2010-01-09,30.5,80.0,0.2759107,0.2717069
2010-01-09,30.75,79.0,0.41986275,0.376009
2010-01-09,30.75,79.25,0.4001503,0.38113594
2010-01-09,30.75,79.5,0.3424263,0.34242502
2010-01-09,30.75,79.75,0.44779968,0.44745636
2010-01-09,30.75,80.0,0.2394352,0.24786377
2010-01-09,31.0,79.0,0.31010818,0.2954769
2010-01-09,31.0,79.25,0.33290863,0.33304596
2010-01-09,31.0,79.5,0.26937613,0.29058075
2010-01-09,31.0,79.75,0.23989868,0.27731133
2010-01-09,31.0,80.0,0.21796417,0.26736832
2010-01-10,30.25,79.0,0.33205032,0.32089424
2010-01-10,30.25,79.25,0.3258114,0.32971382
2010-01-10,30.25,79.5,0.36153284,0.34954324
2010-01-10,30.25,79.75,0.3895588,0.3760147
2010-01-10,30.25,80.0,0.42638397,0.42074013
2010-01-10,30.5,79.0,0.3052597,0.31302133
2010-01-10,30.5,79.25,0.36305365,0.35476556
2010-01-10,30.5,79.5,0.36187828,0.35485923
2010-01-10,30.5,79.75,0.27156067,0.264356
2010-01-10,30.5,80.0,0.27586746,0.27161917
2010-01-10,30.75,79.0,0.42025566,0.377079
2010-01-10,30.75,79.25,0.40006638,0.3810711
2010-01-10,30.75,79.5,0.34227753,0.34226355
2010-01-10,30.75,79.75,0.44776344,0.4474125
2010-01-10,30.75,80.0,0.23939705,0.24780655
2010-01-10,31.0,79.0,0.31010437,0.29545403
2010-01-10,31.0,79.25,0.33290863,0.33304596
2010-01-10,31.0,79.5,0.26937613,0.29057565
2010-01-10,31.0,79.75,0.23990059,0.27731323
2010-01-10,31.0,80.0,0.21798134,0.2674408
2010-01-11,30.25,79.0,0.32481956,0.32051468
2010-01-11,30.25,79.25,0.31676102,0.32901955
2010-01-11,30.25,79.5,0.35539627,0.34866843
2010-01-11,30.25,79.75,0.38973808,0.3763981
2010-01-11,30.25,80.0,0.42686844,0.4205799
2010-01-11,30.5,79.0,0.2991333,0.31228638
2010-01-11,30.5,79.25,0.35860696,0.35362625
2010-01-11,30.5,79.5,0.36069405,0.35414717
2010-01-11,30.5,79.75,0.27220154,0.26435852
2010-01-11,30.5,80.0,0.2758306,0.2715365
2010-01-11,30.75,79.0,0.4207306,0.37792397
2010-01-11,30.75,79.25,0.39998627,0.38101006
2010-01-11,30.75,79.5,0.34213766,0.34210587
2010-01-11,30.75,79.75,0.44773102,0.4473648
2010-01-11,30.75,80.0,0.239357,0.24774933
2010-01-11,31.0,79.0,0.31010246,0.29543304
2010-01-11,31.0,79.25,0.33290863,0.33304596
2010-01-11,31.0,79.5,0.26937613,0.2905706
2010-01-11,31.0,79.75,0.2399025,0.27731705
2010-01-11,31.0,80.0,0.21799469,0.2675171
2010-01-12,30.25,79.0,0.3177986,0.32003975
2010-01-12,30.25,79.25,0.30803108,0.32821083
2010-01-12,30.25,79.5,0.3496386,0.34755453
2010-01-12,30.25,79.75,0.38968468,0.37660217
2010-01-12,30.25,80.0,0.42817116,0.4204502
2010-01-12,30.5,79.0,0.29351425,0.31140646
2010-01-12,30.5,79.25,0.3545774,0.35238394
2010-01-12,30.5,79.5,0.35969627,0.35344186
2010-01-12,30.5,79.75,0.2729365,0.2645162
2010-01-12,30.5,80.0,0.27580133,0.2714564
2010-01-12,30.75,79.0,0.42093658,0.3785076
2010-01-12,30.75,79.25,0.3999157,0.3809471
2010-01-12,30.75,79.5,0.34200922,0.341952
2010-01-12,30.75,79.75,0.44769478,0.44731903
2010-01-12,30.75,80.0,0.23932266,0.2476902
2010-01-12,31.0,79.0,0.31010056,0.29541397
2010-01-12,31.0,79.25,0.33290863,0.33304596
2010-01-12,31.0,79.5,0.26937613,0.2905655
2010-01-12,31.0,79.75,0.2399025,0.27732086
2010-01-12,31.0,80.0,0.21800423,0.26759338
2010-01-13,30.25,79.0,0.39496422,0.3229313
2010-01-13,30.25,79.25,0.38762283,0.3314476
2010-01-13,30.25,79.5,0.39459357,0.3505732
2010-01-13,30.25,79.75,0.3891163,0.37661743
2010-01-13,30.25,80.0,0.4286499,0.4203453
2010-01-13,30.5,79.0,0.3349215,0.31189346
2010-01-13,30.5,79.25,0.37793604,0.35250854
2010-01-13,30.5,79.5,0.36673567,0.3533834
2010-01-13,30.5,79.75,0.27217484,0.2646103
2010-01-13,30.5,80.0,0.2757721,0.27137756
2010-01-13,30.75,79.0,0.4204464,0.37879944
2010-01-13,30.75,79.25,0.39984703,0.38088608
2010-01-13,30.75,79.5,0.3418859,0.3418007
2010-01-13,30.75,79.75,0.44766045,0.44727516
2010-01-13,30.75,80.0,0.23928452,0.24763489
2010-01-13,31.0,79.0,0.31009674,0.295393
2010-01-13,31.0,79.25,0.33290863,0.33304596
2010-01-13,31.0,79.5,0.26937613,0.2905604
2010-01-13,31.0,79.75,0.2399044,0.27732468
2010-01-13,31.0,80.0,0.21800995,0.26766396
2010-01-14,30.25,79.0,0.44771004,0.3559723
2010-01-14,30.25,79.25,0.44579887,0.36516953
2010-01-14,30.25,79.5,0.4207662,0.37433115
2010-01-14,30.25,79.75,0.3904915,0.37675285
2010-01-14,30.25,80.0,0.4280777,0.4202404
2010-01-14,30.5,79.0,0.38000235,0.3189977
2010-01-14,30.5,79.25,0.4009005,0.36059698
2010-01-14,30.5,79.5,0.37137774,0.3563334
2010-01-14,30.5,79.75,0.2709999,0.26434454
2010-01-14,30.5,80.0,0.2757454,0.27130255
2010-01-14,30.75,79.0,0.41865158,0.37864113
2010-01-14,30.75,79.25,0.39977837,0.38082886
2010-01-14,30.75,79.5,0.34176636,0.34165573
2010-01-14,30.75,79.75,0.44762993,0.4472332
2010-01-14,30.75,80.0,0.239254,0.24758148
2010-01-14,31.0,79.0,0.31009293,0.295372
2010-01-14,31.0,79.25,0.33290863,0.33304596
2010-01-14,31.0,79.5,0.26937613,0.29055533
2010-01-14,31.0,79.75,0.23990631,0.27732658
2010-01-14,31.0,80.0,0.2180214,0.26773262
2010-01-15,30.25,79.0,0.42238235,0.3618183
2010-01-15,30.25,79.25,0.42594528,0.37333107
2010-01-15,30.25,79.5,0.4155337,0.38224283
2010-01-15,30.25,79.75,0.3933487,0.37770462
2010-01-15,30.25,80.0,0.42747116,0.42014885
2010-01-15,30.5,79.0,0.37779236,0.32538986
2010-01-15,30.5,79.25,0.4010493,0.36782837
2010-01-15,30.5,79.5,0.3727222,0.35843065
2010-01-15,30.5,79.75,0.2701861,0.26397577
2010-01-15,30.5,80.0,0.27571234,0.27123007
2010-01-15,30.75,79.0,0.41671944,0.37802315
2010-01-15,30.75,79.25,0.39970398,0.38076973
2010-01-15,30.75,79.5,0.34163538,0.34151712
2010-01-15,30.75,79.75,0.4475975,0.44719124
2010-01-15,30.75,80.0,0.23921585,0.24752808
2010-01-15,31.0,79.0,0.3100872,0.29535675
2010-01-15,31.0,79.25,0.33290863,0.33304596
2010-01-15,31.0,79.5,0.26937613,0.29055277
2010-01-15,31.0,79.75,0.23990631,0.2773304
2010-01-15,31.0,80.0,0.21803665,0.26780128
2010-01-16,30.25,79.0,0.40704346,0.3632908
2010-01-16,30.25,79.25,0.41324806,0.37615204
2010-01-16,30.25,79.5,0.4137993,0.3872083
2010-01-16,30.25,79.75,0.39530945,0.37973404
2010-01-16,30.25,80.0,0.42690277,0.4200573
2010-01-16,30.5,79.0,0.37303162,0.3295606
2010-01-16,30.5,79.25,0.40100226,0.37304053
2010-01-16,30.5,79.5,0.37567562,0.36110857
2010-01-16,30.5,79.75,0.26951218,0.26359177
2010-01-16,30.5,80.0,0.27567926,0.27116266
2010-01-16,30.75,79.0,0.4154663,0.37732315
2010-01-16,30.75,79.25,0.3996334,0.38071442
2010-01-16,30.75,79.5,0.34150568,0.34138235
2010-01-16,30.75,79.75,0.44756508,0.44715118
2010-01-16,30.75,80.0,0.23918343,0.24747467
2010-01-16,31.0,79.0,0.31008148,0.29533768
2010-01-16,31.0,79.25,0.33290863,0.33304596
2010-01-16,31.0,79.5,0.26937613,0.29054895
2010-01-16,31.0,79.75,0.23990822,0.2773323
2010-01-16,31.0,80.0,0.21805382,0.26786613
2010-01-17,30.25,79.0,0.39484215,0.3633194
2010-01-17,30.25,79.25,0.401474,0.37674332
2010-01-17,30.25,79.5,0.4099299,0.39000192
2010-01-17,30.25,79.75,0.39554214,0.38173103
2010-01-17,30.25,80.0,0.4263916,0.41994858
2010-01-17,30.5,79.0,0.36623383,0.33167267
2010-01-17,30.5,79.25,0.39832053,0.37636313
2010-01-17,30.5,79.5,0.37672085,0.36372122
2010-01-17,30.5,79.75,0.26893362,0.26320902
2010-01-17,30.5,80.0,0.2756462,0.2710978
2010-01-17,30.75,79.0,0.41452026,0.37664986
2010-01-17,30.75,79.25,0.39956093,0.3806591
2010-01-17,30.75,79.5,0.34137598,0.34125137
2010-01-17,30.75,79.75,0.44753265,0.44711113
2010-01-17,30.75,80.0,0.23914719,0.24742126
2010-01-17,31.0,79.0,0.31007576,0.2953205
2010-01-17,31.0,79.25,0.33290863,0.33304596
2010-01-17,31.0,79.5,0.26937613,0.2905477
2010-01-17,31.0,79.75,0.23991013,0.27733612
2010-01-17,31.0,80.0,0.21807289,0.26793098
2010-01-18,30.25,79.0,0.38451195,0.3626995
2010-01-18,30.25,79.25,0.3906994,0.376194
2010-01-18,30.25,79.5,0.40488687,0.3908297
2010-01-18,30.25,79.75,0.39494896,0.3827114
2010-01-18,30.25,80.0,0.42593575,0.4198246
2010-01-18,30.5,79.0,0.35874048,0.33237967
2010-01-18,30.5,79.25,0.3938446,0.37756476
2010-01-18,30.5,79.5,0.37642246,0.36530304
2010-01-18,30.5,79.75,0.26843134,0.2628301
2010-01-18,30.5,80.0,0.27561697,0.27103296
2010-01-18,30.75,79.0,0.4137535,0.37603378
2010-01-18,30.75,79.25,0.39949417,0.3806076
2010-01-18,30.75,79.5,0.34125137,0.34112167
