time,lat,lon,rain
2010-01-08,30.25,79.25,0.0
2010-01-08,30.25,79.5,0.0
2010-01-08,30.25,79.75,0.0
2010-01-08,30.25,80.0,0.0
2010-01-08,30.5,79.0,0.0
2010-01-08,30.5,79.25,0.0
2010-01-08,30.5,79.5,0.0
2010-01-08,30.5,79.75,0.0
2010-01-08,30.5,80.0,0.0
2010-01-08,30.75,79.0,0.0
2010-01-08,30.75,79.25,0.0
2010-01-08,30.75,79.5,0.0
2010-01-08,30.75,79.75,0.0
2010-01-08,30.75,80.0,0.0
2010-01-08,31.0,79.0,0.0
2010-01-08,31.0,79.25,0.0
2010-01-08,31.0,79.5,0.0
2010-01-08,31.0,79.75,0.0
2010-01-08,31.0,80.0,0.0
2010-01-09,30.25,79.0,0.0
2010-01-09,30.25,79.25,0.0
2010-01-09,30.25,79.5,0.0
2010-01-09,30.25,79.75,0.0
2010-01-09,30.25,80.0,0.0
2010-01-09,30.5,79.0,0.0
2010-01-09,30.5,79.25,0.0
2010-01-09,30.5,79.5,0.0
2010-01-09,30.5,79.75,0.0
2010-01-09,30.5,80.0,0.0
2010-01-09,30.75,79.0,0.0
2010-01-09,30.75,79.25,0.0
2010-01-09,30.75,79.5,0.0
2010-01-09,30.75,79.75,0.0
2010-01-09,30.75,80.0,0.0
2010-01-09,31.0,79.0,0.0
2010-01-09,31.0,79.25,0.0
2010-01-09,31.0,79.5,0.0
2010-01-09,31.0,79.75,0.0
2010-01-09,31.0,80.0,0.0
2010-01-10,30.25,79.0,0.0
2010-01-10,30.25,79.25,0.0
2010-01-10,30.25,79.5,0.0
2010-01-10,30.25,79.75,0.0
2010-01-10,30.25,80.0,0.0
2010-01-10,30.5,79.0,0.0
2010-01-10,30.5,79.25,0.0
2010-01-10,30.5,79.5,0.0
2010-01-10,30.5,79.75,0.0
2010-01-10,30.5,80.0,0.0
2010-01-10,30.75,79.0,0.0
2010-01-10,30.75,79.25,0.0
2010-01-10,30.75,79.5,0.0
2010-01-10,30.75,79.75,0.0
2010-01-10,30.75,80.0,0.0
2010-01-10,31.0,79.0,0.0
2010-01-10,31.0,79.25,0.0
2010-01-10,31.0,79.5,0.0
2010-01-10,31.0,79.75,0.0
2010-01-10,31.0,80.0,0.0
2010-01-11,30.25,79.0,0.0
2010-01-11,30.25,79.25,0.0
2010-01-11,30.25,79.5,0.0
2010-01-11,30.25,79.75,0.0
2010-01-11,30.25,80.0,0.0
2010-01-11,30.5,79.0,0.0
2010-01-11,30.5,79.25,0.0
2010-01-11,30.5,79.5,0.0
2010-01-11,30.5,79.75,0.0
2010-01-11,30.5,80.0,0.0
2010-01-11,30.75,79.0,0.0
2010-01-11,30.75,79.25,0.0
2010-01-11,30.75,79.5,0.0
2010-01-11,30.75,79.75,0.0
2010-01-11,30.75,80.0,0.0
2010-01-11,31.0,79.0,0.0
2010-01-11,31.0,79.25,0.0
2010-01-11,31.0,79.5,0.0
2010-01-11,31.0,79.75,0.0
2010-01-11,31.0,80.0,0.0
2010-01-12,30.25,79.0,0.0
2010-01-12,30.25,79.25,0.0
2010-01-12,30.25,79.5,0.0
2010-01-12,30.25,79.75,0.0
2010-01-12,30.25,80.0,0.0
2010-01-12,30.5,79.0,0.0
2010-01-12,30.5,79.25,0.0
2010-01-12,30.5,79.5,0.0
2010-01-12,30.5,79.75,0.0
2010-01-12,30.5,80.0,0.0
2010-01-12,30.75,79.0,0.0
2010-01-12,30.75,79.25,0.0
2010-01-12,30.75,79.5,0.0
2010-01-12,30.75,79.75,0.0
2010-01-12,30.75,80.0,0.0
2010-01-12,31.0,79.0,0.0
2010-01-12,31.0,79.25,0.0
2010-01-12,31.0,79.5,0.0
2010-01-12,31.0,79.75,0.0
2010-01-12,31.0,80.0,0.0
2010-01-13,30.25,79.0,0.30542609095573425
2010-01-13,30.25,79.25,0.6821309924125671
2010-01-13,30.25,79.5,0.9836757779121399
2010-01-13,30.25,79.75,1.0233266353607178
2010-01-13,30.25,80.0,1.0013025999069214
2010-01-13,30.5,79.0,0.0
2010-01-13,30.5,79.25,0.16804566979408264
2010-01-13,30.5,79.5,0.8263980746269226
2010-01-13,30.5,79.75,0.9999727010726929
2010-01-13,30.5,80.0,1.0
2010-01-13,30.75,79.0,0.0
2010-01-13,30.75,79.25,0.0
2010-01-13,30.75,79.5,0.16979481279850006
2010-01-13,30.75,79.75,1.0
2010-01-13,30.75,80.0,1.0
2010-01-13,31.0,79.0,0.0
2010-01-13,31.0,79.25,0.0
2010-01-13,31.0,79.5,0.0
2010-01-13,31.0,79.75,0.5
2010-01-13,31.0,80.0,0.75
2010-01-14,30.25,79.0,12.517670631408691
2010-01-14,30.25,79.25,6.4996843338012695
2010-01-14,30.25,79.5,3.460730791091919
2010-01-14,30.25,79.75,2.9765682220458984
2010-01-14,30.25,80.0,2.9983651638031006
2010-01-14,30.5,79.0,13.93215274810791
2010-01-14,30.5,79.25,12.498330116271973
2010-01-14,30.5,79.5,4.97907018661499
2010-01-14,30.5,79.75,3.000311851501465
2010-01-14,30.5,80.0,2.999999761581421
2010-01-14,30.75,79.0,14.350597381591797
2010-01-14,30.75,79.25,14.113231658935547
2010-01-14,30.75,79.5,12.464337348937988
2010-01-14,30.75,79.75,3.0
2010-01-14,30.75,80.0,3.0
2010-01-14,31.0,79.0,14.135703086853027
2010-01-14,31.0,79.25,14.260719299316406
2010-01-14,31.0,79.5,14.40003776550293
2010-01-14,31.0,79.75,8.700018882751465
2010-01-14,31.0,80.0,5.850009441375732
2010-01-15,30.25,79.0,0.0
2010-01-15,30.25,79.25,0.0
2010-01-15,30.25,79.5,0.0
2010-01-15,30.25,79.75,0.0
2010-01-15,30.25,80.0,0.0
2010-01-15,30.5,79.0,0.0
2010-01-15,30.5,79.25,0.0
2010-01-15,30.5,79.5,0.0
2010-01-15,30.5,79.75,0.0
2010-01-15,30.5,80.0,0.0
2010-01-15,30.75,79.0,0.23572728037834167
2010-01-15,30.75,79.25,0.0
2010-01-15,30.75,79.5,0.0
2010-01-15,30.75,79.75,0.0
2010-01-15,30.75,80.0,0.0
2010-01-15,31.0,79.0,1.3105041980743408
2010-01-15,31.0,79.25,0.7070185542106628
2010-01-15,31.0,79.5,0.0
2010-01-15,31.0,79.75,0.0
2010-01-15,31.0,80.0,0.0
2010-01-16,30.25,79.0,0.0
2010-01-16,30.25,79.25,0.0
2010-01-16,30.25,79.5,0.0
2010-01-16,30.25,79.75,0.0
2010-01-16,30.25,80.0,0.0
2010-01-16,30.5,79.0,0.0
2010-01-16,30.5,79.25,0.0
2010-01-16,30.5,79.5,0.0
2010-01-16,30.5,79.75,0.0
2010-01-16,30.5,80.0,0.0
2010-01-16,30.75,79.0,0.0
2010-01-16,30.75,79.25,0.0
2010-01-16,30.75,79.5,0.0
2010-01-16,30.75,79.75,0.0
2010-01-16,30.75,80.0,0.0
2010-01-16,31.0,79.0,0.0
2010-01-16,31.0,79.25,0.0
2010-01-16,31.0,79.5,0.0
2010-01-16,31.0,79.75,0.0
2010-01-16,31.0,80.0,0.0
2010-01-17,30.25,79.0,0.0
2010-01-17,30.25,79.25,0.0
2010-01-17,30.25,79.5,0.0
2010-01-17,30.25,79.75,0.0
2010-01-17,30.25,80.0,0.0
2010-01-17,30.5,79.0,0.0
2010-01-17,30.5,79.25,0.0
2010-01-17,30.5,79.5,0.0
2010-01-17,30.5,79.75,0.0
2010-01-17,30.5,80.0,0.0
2010-01-17,30.75,79.0,0.0
2010-01-17,30.75,79.25,0.0
2010-01-17,30.75,79.5,0.0
2010-01-17,30.75,79.75,0.0
2010-01-17,30.75,80.0,0.0
2010-01-17,31.0,79.0,0.0
2010-01-17,31.0,79.25,0.0
2010-01-17,31.0,79.5,0.0
2010-01-17,31.0,79.75,0.0
2010-01-17,31.0,80.0,0.0
2010-01-18,30.25,79.0,0.0
2010-01-18,30.25,79.25,0.0
2010-01-18,30.25,79.5,0.0
2010-01-18,30.25,79.75,0.0
2010-01-18,30.25,80.0,0.0
2010-01-18,30.5,79.0,0.0
2010-01-18,30.5,79.25,0.0
2010-01-18,30.5,79.5,0.0
2010-01-18,30.5,79.75,0.0
2010-01-18,30.5,80.0,0.0
2010-01-18,30.75,79.0,0.0
2010-01-18,30.75,79.25,0.0
2010-01-18,30.75,79.5,0.0
2010-01-18,30.75,79.75,0.0
2010-01-18,30.75,80.0,0.0
2010-01-18,31.0,79.0,0.0
2010-01-18,31.0,79.25,0.0
2010-01-18,31.0,79.5,0.0
2010-01-18,31.0,79.75,0.0
2010-01-18,31.0,80.0,0.0
2010-01-19,30.25,79.0,0.0
2010-01-19,30.25,79.25,0.0
2010-01-19,30.25,79.5,0.0
2010-01-19,30.25,79.75,0.0
2010-01-19,30.25,80.0,0.0
2010-01-19,30.5,79.0,0.0
2010-01-19,30.5,79.25,0.0
2010-01-19,30.5,79.5,0.0
2010-01-19,30.5,79.75,0.0
2010-01-19,30.5,80.0,0.0
2010-01-19,30.75,79.0,0.0
2010-01-19,30.75,79.25,0.0
2010-01-19,30.75,79.5,0.0
2010-01-19,30.75,79.75,0.0
2010-01-19,30.75,80.0,0.0
2010-01-19,31.0,79.0,0.0
2010-01-19,31.0,79.25,0.0
2010-01-19,31.0,79.5,0.0
2010-01-19,31.0,79.75,0.0
2010-01-19,31.0,80.0,0.0
2010-01-20,30.25,79.0,0.0
2010-01-20,30.25,79.25,0.0
2010-01-20,30.25,79.5,0.0
2010-01-20,30.25,79.75,0.0
2010-01-20,30.25,80.0,0.0
2010-01-20,30.5,79.0,0.0
2010-01-20,30.5,79.25,0.0
2010-01-20,30.5,79.5,0.0
2010-01-20,30.5,79.75,0.0
2010-01-20,30.5,80.0,0.0
2010-01-20,30.75,79.0,0.0
2010-01-20,30.75,79.25,0.0
2010-01-20,30.75,79.5,0.0
2010-01-20,30.75,79.75,0.0
2010-01-20,30.75,80.0,0.0
2010-01-20,31.0,79.0,0.0
2010-01-20,31.0,79.25,0.0
2010-01-20,31.0,79.5,0.0
2010-01-20,31.0,79.75,0.0
2010-01-20,31.0,80.0,0.0
2010-01-21,30.25,79.0,0.0
2010-01-21,30.25,79.25,0.0
2010-01-21,30.25,79.5,0.0
2010-01-21,30.25,79.75,0.0
2010-01-21,30.25,80.0,0.0
2010-01-21,30.5,79.0,0.0
2010-01-21,30.5,79.25,0.0
2010-01-21,30.5,79.5,0.0
2010-01-21,30.5,79.75,0.0
2010-01-21,30.5,80.0,0.0
2010-01-21,30.75,79.0,0.0
2010-01-21,30.75,79.25,0.0
2010-01-21,30.75,79.5,0.0
2010-01-21,30.75,79.75,0.0
2010-01-21,30.75,80.0,0.0
2010-01-21,31.0,79.0,0.0
2010-01-21,31.0,79.25,0.0
2010-01-21,31.0,79.5,0.0
2010-01-21,31.0,79.75,0.0
2010-01-21,31.0,80.0,0.0
2010-01-22,30.25,79.0,0.0
2010-01-22,30.25,79.25,0.0
2010-01-22,30.25,79.5,0.0
2010-01-22,30.25,79.75,0.0
2010-01-22,30.25,80.0,0.0
